Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow,label
-0.22014892,-0.2549872,-0.12927768,-0.2658819,-0.29697224,-0.349238,-0.2062864,-0.10264995,0.77362293,-0.5987895,-0.40159473,-0.23681425,-0.32815558,-0.35353136,-0.22513628,-0.11002258,-0.15546864,-0.12049685,-0.401576,-0.26993263,0.1934105,-0.09091279,11.0
0.037957586,0.1352924,0.0020685962,-0.38730514,0.11571429,0.22403155,0.039905578,0.5242792,0.053646002,0.7288887,0.07577411,0.017616492,-0.4439989,0.50215423,0.04157422,0.39081135,0.20331734,-0.12791471,0.07578927,0.030403163,-0.48984465,-0.38888508,2.0
-0.25611624,-0.23443209,-0.12997116,-0.36700648,-0.4082309,-0.42083114,-0.22277877,-0.2342842,-0.44578904,-0.5987895,-0.4400001,-0.37710437,-0.4228289,-0.4139707,-0.37219727,-0.24071236,-0.16573529,-0.106441185,-0.4399811,-0.38408038,0.12613115,-0.25656208,15.0
-0.15691382,-0.08093869,-0.077489585,-0.30294883,-0.2000827,-0.014344606,-0.15990967,-0.04240128,-0.42584187,-0.1700601,0.73749584,-0.09245015,-0.26993686,-0.27310762,-0.07380464,0.0065989145,-0.051679038,0.018537432,0.73750603,-0.3146312,0.05986416,-0.24722086,9.0
-0.21087609,-0.07447428,-0.12167732,-0.21524076,-0.22293846,0.26561147,-0.17224379,-0.0920064,-0.24316958,-0.43282977,-0.069398165,-0.3759567,-0.25886965,-0.3227131,-0.37199897,-0.5145959,0.034534033,-0.081838846,-0.06938193,-0.28797308,0.028305534,-0.24885724,10.0
0.0077404226,0.08534697,-0.11664542,-0.113569535,0.58106405,0.39245698,-0.120698534,0.37833458,0.017102476,-0.15623014,0.60991,0.76333344,-0.045706566,0.1687973,0.81647617,0.31389216,0.20938869,0.10039112,0.6099212,0.27689642,-0.1461227,0.13808887,5.0
-0.19143972,-0.23216322,-0.11937077,-0.1780621,-0.16346264,-0.22083448,-0.16026612,-0.019118425,-0.13987055,-0.23921002,-0.08157412,-0.31818432,-0.17282864,-0.19517578,-0.32381874,-0.16562237,-0.07900008,-0.07093912,-0.08155779,-0.14579725,-0.12342911,-0.24344456,10.0
-0.21466365,-0.0745563,-0.1252646,-0.28975242,-0.20631811,-0.1508814,-0.19224826,-0.2358996,0.3001097,-0.0041003195,-0.30858135,-0.28322902,-0.37576556,-0.11892968,-0.27379122,-0.15483789,-0.08264289,-0.106832564,-0.30856332,-0.22258134,-0.06024066,-0.26236835,5.0
0.055080377,0.2819712,-0.109786496,0.50630856,-0.06074097,-0.120232046,-0.005955043,-0.82035834,-0.06797288,-0.46048972,-0.0089685,0.40048602,0.90109724,-0.11792178,0.27341992,-1.3883262,-0.06224317,0.024625417,-0.00895271,0.13378395,0.066765964,0.18395221,8.0
-0.019527841,0.32830808,-0.026872423,0.1455374,0.43088496,0.69724643,-0.040167935,0.2938836,0.15339695,0.7980386,0.2689492,0.10949082,-0.03689089,0.5429414,0.13554925,0.069268726,0.23367406,0.07153066,0.26896292,0.33396715,-0.2582586,0.09656395,6.0
-0.14574899,0.11015566,-0.11767729,-0.12381313,0.031297646,0.1605784,-0.14910069,0.37697423,0.17787579,0.9467108,-0.0869395,-0.08238298,-0.16031037,0.10824228,-0.063251585,0.02267379,0.01886389,-0.04413532,-0.08692312,0.013978988,-0.11415308,-0.08399714,7.0
1.9182149,1.9015068,0.036011163,7.3672743,7.0130844,8.966852,2.0747163,-0.033636168,0.2612903,0.8810186,5.0462084,0.45081967,8.168742,4.295384,0.40636435,2.908178,0.9094145,-0.063300915,5.046187,6.3059173,-13.894517,-5.8712487,7.0
0.17144372,-0.15535879,0.097195186,0.75938153,1.2750516,0.81726336,0.09955222,-0.6035717,0.55447984,1.0850106,0.45807862,0.54746765,1.2413824,0.66481817,0.31821007,0.5111691,0.18045269,-0.10925349,0.45809093,0.99311227,-0.5096562,0.5072681,7.0
-0.22850862,-0.26174912,-0.12809922,-0.29578632,-0.29322064,-0.29841948,-0.2038655,-0.12956317,-0.16533826,0.14802949,-0.26445115,-0.30622542,-0.34720275,-0.3140299,-0.29789752,-0.24070035,-0.06416172,-0.09564704,-0.26443347,-0.31230438,-0.008507976,-0.3033355,8.0
-0.23107448,-0.186677,-0.12998298,-0.3575419,-0.33481818,-0.26078528,-0.2146461,-0.12309836,-0.061437078,-0.5987895,-0.3582784,-0.259716,-0.41679195,-0.33672628,-0.24914333,-0.2523592,-0.120892346,-0.101520166,-0.35826,-0.3068125,0.084128626,-0.21910785,8.0
-0.22259769,-0.26705572,-0.10875462,-0.2991759,-0.32604784,-0.37394577,-0.19640593,-0.1966503,0.28599337,0.479949,-0.39209208,-0.3111176,-0.32601517,-0.36427218,-0.30302572,-0.18990923,-0.15476435,-0.122804396,-0.39207345,-0.29588956,0.103353515,-0.1923495,8.0
-0.11189416,-0.1351018,-0.12788677,0.02483132,0.07396822,-0.12088932,-0.1444458,-0.07856607,0.90559006,1.4757077,-0.25488868,0.1136276,-0.032306727,-0.25150877,0.14170708,-1.7088166,-0.11542813,-0.11444837,-0.25487104,0.08109156,0.18851699,0.23783132,7.0
0.6671545,2.1342163,-0.073610224,0.18307388,1.4883018,1.5304269,0.723181,0.9849454,-0.24611737,1.4203879,3.4748032,0.14869417,0.4338663,1.8075933,0.17087577,0.3037465,0.83777267,2.4922788,3.4747932,1.563166,-1.999877,-0.22323988,5.0
-0.21627164,-0.20231077,-0.12993838,-0.34629568,-0.33562413,-0.3607528,-0.19733079,-0.31359783,-0.2927884,-0.5987895,-0.26815066,-0.26393035,-0.37188667,-0.38125992,-0.2542741,-0.51204073,-0.12028521,-0.09754118,-0.26813295,-0.32583144,0.07960226,-0.24100676,12.0
0.95091313,0.37649024,0.16026087,3.2271066,0.6815258,0.36093122,0.5742351,0.69437295,0.26692334,-0.12857015,0.350425,2.8976898,4.092373,-0.0038469026,0.9155201,1.0417502,0.015105733,0.18702854,0.3504381,0.1943399,1.6877716,1.6241025,6.0
-0.24879953,-0.23149316,-0.12999907,-0.37232563,-0.38726294,-0.37474903,-0.21862693,-0.1808155,-0.36367425,-0.259955,-0.37195072,-0.35325497,-0.42219597,-0.39877638,-0.34719688,-0.21818523,-0.13245825,-0.106838,-0.37193224,-0.33866602,0.06638064,-0.2644574,11.0
0.053862207,0.8708187,-0.094187,0.11999855,0.41568214,1.1498052,-0.02960775,1.4114993,0.17448425,0.39696917,0.23468004,0.5316379,-0.096837506,1.9577781,0.5719129,0.4063305,-0.01525098,-0.04049274,0.234694,0.3193727,-0.5089296,-0.13110003,4.0
-0.044828292,-0.25910422,-0.10845113,0.2472016,0.45553815,0.089128144,-0.061162215,-0.11090449,0.45284483,0.42462912,0.06368039,0.06608269,0.31749934,0.1973774,0.09237958,0.13089429,0.09810098,-0.109982,0.06369564,0.37578997,0.0776647,0.42277214,7.0
-0.23301305,-0.1580857,-0.12966524,-0.35652527,-0.31922978,-0.28759846,-0.20616877,-0.17354625,-0.2091817,-0.28761497,-0.28629342,-0.32239527,-0.4022126,-0.30646104,-0.31484777,-0.17734626,-0.09317666,-0.091359995,-0.28627557,-0.31480938,0.06659643,-0.24164723,10.0
-0.22898765,-0.2664732,-0.12552978,-0.31365934,-0.32709107,-0.3465309,-0.20140876,-0.20418237,-0.2858828,-0.5987895,-0.2528419,-0.32384378,-0.36506507,-0.37527707,-0.31665227,-0.20421162,-0.07262517,-0.12159321,-0.2528243,-0.2959867,0.11004001,-0.18673804,11.0
-0.24037547,-0.17005949,-0.12988982,-0.37252212,-0.35546997,-0.31555778,-0.18685362,-0.5455225,-0.3093115,-0.5987895,-0.30716214,-0.48464394,-0.43148062,-0.38621742,-0.48541978,-0.5155353,-0.026179394,-0.12529765,-0.3071441,-0.33990306,0.07236065,-0.26052967,12.0
0.2613915,0.01973722,-0.121076405,-0.036953025,0.44403332,0.082311764,0.24622844,0.28169477,-0.19813702,-0.57112956,1.0583082,0.2723022,0.012476904,0.2257741,0.3075797,0.38829374,0.058819402,-0.12791471,1.058316,0.06800013,-0.30185354,-0.19287093,5.0
0.25829923,-0.23245026,-0.12999907,-0.20856838,-0.17907633,-0.28686813,0.22263879,0.31934947,-0.19774027,0.7842086,-0.04440593,0.39628124,-0.13210021,-0.16814119,0.4385147,0.003885508,-0.12514228,-0.12791471,-0.044389874,-0.052676134,-0.044401154,-0.08771579,8.0
0.04734031,-0.13424066,-0.116159834,0.2794058,0.5767497,0.16094357,0.003081533,0.32060102,0.52479666,-0.16314511,0.095786095,0.29623234,0.50615484,0.45009917,0.3320814,0.43037948,0.02427953,-0.11261587,0.09580111,0.361849,-0.18099865,0.18891041,7.0
-0.22411478,-0.257669,-0.12587158,-0.31766972,-0.28878307,-0.30780417,-0.2058525,-0.1273376,-0.07939646,-0.0041003195,-0.29458812,-0.26553804,-0.35249215,-0.34244773,-0.26490447,-0.22796188,-0.1382746,-0.10000693,-0.2945702,-0.29773173,0.008154979,-0.27530098,7.0
-0.18636088,-0.22383898,-0.022502135,-0.23066929,-0.08190163,-0.031010522,-0.15838946,-0.13860138,0.007832337,0.2642013,-0.0946414,-0.29571348,-0.23612522,-0.1058487,-0.2861004,0.06588684,-0.049250502,-0.07097835,-0.09462497,-0.17052063,-0.14273198,-0.28335804,7.0
0.035524067,-0.26074448,-0.09697913,0.16370927,0.7556909,0.2669626,-0.034273148,0.2795182,0.7708171,0.09270954,0.0726371,0.43808165,0.19936928,1.150088,0.4823326,0.73324656,-0.012033165,-0.10914141,0.07265228,0.5879536,-0.49270254,0.1374691,5.0
-0.10645832,-0.22506917,-0.12186549,0.0089326855,0.18312027,-0.072273955,-0.110894896,-0.042832185,0.6832229,0.36930916,-0.16594894,-0.047940917,0.07594978,0.48029548,-0.02714723,0.045595493,-0.07779796,-0.11799568,-0.16593198,0.09609984,-0.31347886,-0.176137,7.0
-0.12601276,-0.13565537,-0.044657066,-0.23855546,-0.1294823,0.06965277,-0.13304082,-0.0010365463,-0.22456574,0.69777125,0.08686834,-0.046654765,-0.23612522,-0.18050852,-0.0760534,-0.0049449843,0.0046144486,-0.036917403,0.08688342,-0.24114023,0.102756016,-0.14093378,7.0
-0.01844086,0.31600624,-0.08137963,-0.16562946,0.08286392,0.23689748,-0.020508131,0.036340643,-0.45591214,0.29324424,3.488736,0.0009705147,-0.22025698,0.1389546,0.024124848,0.19890788,0.039391104,0.33530965,3.4887257,0.18344855,-0.090660244,0.09677054,6.0
-0.23373364,-0.2468024,-0.12999907,-0.34571335,-0.341808,-0.3605337,-0.21047376,-0.16921487,-0.104523666,-0.10091017,-0.35836682,-0.3018166,-0.39815736,-0.34020913,-0.29327586,-0.15607792,-0.13728496,-0.088731736,-0.35834843,-0.3141559,0.07424977,-0.23449913,8.0
0.53112245,1.2337226,0.5680937,1.5612589,1.7974939,1.8375291,0.48620206,1.2667571,0.012163267,1.199108,1.9353737,0.6455997,1.4988002,0.92473215,0.6946807,0.19665329,0.52651316,0.5560501,1.935375,1.3886864,-0.64431614,0.76757354,5.0
0.20752029,-0.24516216,-0.096614935,1.0236102,1.0396135,0.82213223,0.14227632,-0.32899708,0.55874485,0.8948485,0.32779524,0.5341113,1.939584,0.124324754,0.582997,-0.40645057,0.10617588,-0.12051746,0.3278085,0.7637402,-0.43966204,0.3494321,11.0
-0.24276069,-0.21906117,-0.12904131,-0.37016875,-0.3643558,-0.3966425,-0.21676318,-0.16304679,-0.36489087,-0.5987895,-0.2896936,-0.3247414,-0.4472519,-0.38253453,-0.3173071,-0.2101679,-0.12696369,-0.12570815,-0.2896757,-0.3203762,0.10459694,-0.21451242,9.0
2.2304225,2.3499084,0.10004801,1.2977319,7.092591,4.8100786,0.927313,9.574299,-0.0012188301,2.3124216,7.868612,9.263225,0.17644852,4.695576,9.658025,6.50914,0.22578129,0.23662369,7.868569,6.4897633,-1.129431,5.1917334,2.0
-0.24841629,-0.25957885,-0.12830655,-0.32971635,-0.32379985,-0.35557187,-0.21179447,-0.101785086,-0.12769611,0.12036948,-0.32667425,-0.39093348,-0.40522578,-0.3455512,-0.38669387,-0.18245704,0.1704471,-0.12658978,-0.3266561,-0.2879639,0.032532793,-0.24524273,9.0
-0.22132893,-0.18467815,-0.10557403,-0.3320669,-0.25899377,-0.23602526,-0.2028431,-0.097725354,0.090495035,0.25866932,-0.30970633,-0.26486406,-0.4052099,-0.16672035,-0.25453988,-0.09757122,-0.14186883,-0.11413454,-0.30968833,-0.24865527,0.0070408853,-0.22970621,7.0
-0.24026702,-0.2574771,-0.1292832,-0.33485195,-0.37399215,-0.39277068,-0.20934866,-0.203424,0.066844255,0.0028146645,-0.417021,-0.35155037,-0.41800675,-0.3813654,-0.34541,-0.22261399,-0.13774033,-0.12791471,-0.41700214,-0.3354988,0.15929602,-0.18219675,11.0
-0.2453325,-0.25953478,-0.12919787,-0.26385576,-0.3356858,-0.35274357,-0.20085926,-0.41017234,0.25753456,-0.5987895,-0.39708403,-0.43493485,-0.19116525,-0.405572,-0.44288212,-0.22683458,-0.14821339,-0.12651372,-0.39706537,-0.32818398,-0.04331128,-0.34808323,14.0
-0.13081944,-0.1777022,-0.12978032,1.0377418,-0.035321668,0.03668682,0.02229423,-0.87972325,0.27516648,-0.5987895,-0.1796422,-0.99248236,2.6159158,-0.4059706,-1.0318043,-0.57905966,-0.050464764,-0.12658226,-0.17962514,-0.31295437,-0.0150959045,-0.30957144,16.0
-0.23273566,-0.21176268,-0.124153815,-0.17376119,-2.0984306,-1.3975726,-0.17532462,-0.4561361,-5.470463,-0.18389007,-0.2523271,-0.50207525,-0.07285885,-0.39522058,-0.5309618,-3.0045319,-0.1343343,-0.09866758,-0.25230953,-0.28816912,0.011473042,-0.2634013,12.0
-0.2224843,-0.20395102,-0.0864176,-0.2762042,-0.17681645,-0.11585008,-0.18367085,-0.15530656,0.03521645,1.4065578,-0.2104729,-0.38531232,-0.27315107,-0.13608105,-0.3808014,-0.04909745,-0.11724954,-0.10628338,-0.21045561,-0.19927382,-0.062081333,-0.24183314,7.0
-0.24895535,-0.2695413,-0.12960781,-0.35321623,-0.37977454,-0.33048856,-0.21443585,-0.22065581,-0.29497412,0.09270954,-0.37682676,-0.37894684,-0.40314353,-0.40651718,-0.37888217,-0.2401307,-0.122713745,-0.12395046,-0.37680826,-0.34632832,0.088486426,-0.25286824,8.0
0.5999209,1.5652568,1.2467629,0.94937927,2.1504457,3.2295308,0.41902667,2.908709,0.22409284,0.24483934,1.5379033,1.4949025,0.39684045,4.051802,1.574538,1.5460277,0.6173829,0.045808434,1.5379076,1.9458884,-0.7981094,1.1648493,2.0
-0.24789505,-0.21587127,-0.12893698,-0.35577458,-0.69735235,-0.5837365,-0.21669729,-0.3472482,-6.6454616,-0.5987895,-0.42488265,-0.3586418,-0.3732601,-0.40895423,-0.35284367,-0.6735395,-0.15569328,-0.11877266,-0.42486376,-0.35481834,0.103816345,-0.24784394,14.0
-0.136266,-0.048127867,-0.09940706,0.00788026,0.5407971,0.8602309,-0.099924915,0.606657,0.21554168,0.38313913,0.2951703,-0.30919352,-0.21849385,1.1007541,-0.31656548,0.18237418,0.061855074,-0.05046781,0.2951838,0.3520468,-0.44426373,-0.04495132,3.0
0.01659558,-0.19472465,-0.0824722,-0.051406324,0.12313081,-0.107816495,0.016363196,-0.14719884,0.06979176,0.040847115,0.068786144,0.01519255,-0.005154451,-0.0038469026,0.03514413,-0.00062367966,0.24965993,-0.12791471,0.06880136,-0.008675042,-0.19310836,-0.17283154,6.0
1.2307079,0.5302631,0.12596625,2.7001927,4.348073,2.3953767,0.8786626,0.93684316,0.40702552,0.0028146645,2.5234444,2.8866215,4.159372,3.151337,3.0259073,2.833025,0.6768821,-0.12791471,2.5234416,3.3247344,-1.3767112,1.979027,6.0
17.00311,6.3117123,18.558262,13.083624,6.040926,3.3983579,16.905764,4.9413013,0.43464524,-0.57112956,3.466582,12.716953,13.646805,-0.0038469026,12.577357,0.9339055,1.296159,12.695599,3.466572,9.530414,-16.937687,-5.4088964,6.0
-0.22782063,-0.18223317,-0.121176794,-0.29823202,-0.33485803,-0.32245168,-0.20220707,-0.1615998,-0.38471103,-0.26687,-0.14777768,-0.31144488,-0.3176861,-0.3723615,-0.30337605,-0.19368531,-0.11061356,-0.075494535,-0.14776085,-0.33651805,0.072966866,-0.25680214,10.0
-0.10337541,-0.14346702,-0.12829952,0.4193081,0.20448637,0.07184376,-0.05547758,-0.34352568,0.45082173,-0.5987895,-0.085252,-0.35371467,0.41270867,-0.25161332,-0.34767875,-0.20015523,0.015105733,-0.12791471,-0.08523564,0.19542904,0.12537695,0.29241282,12.0
-0.25609466,-0.2708986,-0.12972909,-0.3757214,-0.4013644,-0.41856933,-0.22195055,-0.2235548,0.7020491,0.09962453,-0.44828644,-0.38183576,-0.4432672,-0.41197735,-0.3772071,-0.23253457,-0.16542564,-0.12783144,-0.44826737,-0.35976782,0.07973426,-0.2730801,5.0
-0.0826103,-0.22896475,-0.093580015,0.18293355,-0.03074624,-0.19898555,-0.06415689,-0.28747895,0.18570782,0.14802949,-0.1417615,-0.16561279,0.26813155,-0.18969896,-0.1528967,-0.07089186,-0.119999856,-0.07647025,-0.14174472,-0.051151343,0.20191032,0.123834044,7.0
-0.12046661,-0.26640722,-0.12987293,0.032565713,0.3128559,0.033162378,-0.11985555,-0.027205313,1.507956,-0.5987895,-0.24462877,-0.08764858,0.04584955,-0.075452164,-0.06877133,0.12712009,-0.1598218,-0.12218863,-0.24461123,0.36461872,0.37864304,0.66891164,9.0
-0.23905207,-0.15830058,-0.12595256,-0.36713853,-0.31967682,-0.33702645,-0.20992242,-0.15451626,-0.17228174,-0.30835992,-0.3042021,-0.34015667,-0.40183175,-0.37287486,-0.33608958,-0.20504169,-0.11311496,-0.104274295,-0.30418414,-0.29684213,0.03412909,-0.25230134,12.0
-0.22060701,-0.26623476,-0.12383709,-0.29824668,-0.30596143,-0.2766819,-0.20714597,-0.14710955,0.29037833,-0.55729955,-0.37806395,-0.23477888,-0.4308371,-0.23027697,-0.22420587,-0.17209455,-0.10959965,-0.106537014,-0.3780454,-0.26727447,0.28526506,-0.0100398045,9.0
-0.1312312,-0.14334401,-0.07844182,-0.22413725,-0.24909142,-0.19013643,-0.16259041,-0.034534004,-0.0040187784,0.42462912,-0.27298382,0.09280158,-0.19663098,-0.08459838,0.11891011,-0.4426368,-0.11178532,-0.116583474,-0.2729661,-0.089140415,-0.11294211,-0.18076465,7.0
0.019322407,0.8171007,-0.12781394,-0.16170041,0.21373133,0.21157952,-0.13841443,0.41016698,0.33962828,-0.3221899,-0.03203095,0.9440151,-0.16736291,0.28719246,0.858868,0.18124689,0.043033898,-0.053830195,-0.032014992,0.65940094,-0.5450165,0.16060735,6.0
-0.23004836,-0.20041096,-0.12388031,-0.33554602,-0.30743238,-0.28938302,-0.2017841,-0.16068058,-0.054659516,0.2724993,-0.32582855,-0.32863435,-0.38560033,-0.3389751,-0.3220912,-0.2617169,-0.098428376,-0.107195765,-0.3258104,-0.3088516,0.049086522,-0.25093266,8.0
-0.15876593,-0.09121995,-0.1297022,0.20018701,-0.1992747,-0.29883528,-0.12990426,-0.14591727,0.78547835,-0.5987895,-0.35854033,-0.28124648,0.8394262,-0.32097358,-0.25950703,-0.05970644,-0.1364957,-0.11642843,-0.35852194,-0.27915215,-0.34792128,-0.5614129,14.0
