Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,Total debt/total asset,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Book Value Per Share,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Earnings Per Share from Operations,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow
4942.9,950.5,250.2,1147.8,1048.1,2276.4,3487.6,-711.5,0.232211859,1.417278358,0.212041514,0.666393443,0.306820843,0.92,3416,1455.3,44.9,13961.1597,19.7471,1455.3,16.2,14.9,413.7,8.28,3416,798.1,-554.1,244
26308,2455,203,9765,2635,3211,16853,-13974,0.371179869,1.56102771,0.100159647,0.355395683,0.291643608,0.14,9035,9455,780,8598.2978,6.1609,7178,-2905,21.135,1717,-1.09,9035,2794,-3275,-481
20975,2213,2585,3935,1490,4911,12110,9907,0.187604291,1.732039637,0.071036949,0.492676565,0.149478331,1.675,9968,8865,197,20893.0383,16.1525,8846,4492,50,1604,1.14,9968,1647,-357,1290
26820,1424,1452,11370,2340,5523,19656,10575,0.42393736,1.364468864,0.087248322,0.537152305,0.227582182,2.46,10282,7164,294,27950.9314,34.0016,7164,-42,49.517,1959,6.07,10282,1730,6190,7920
244640,4470,6489,103705,49077,79063,226798,11796,0.4239086,1.078669124,0.200609058,0.600691384,0.372868865,2.215,131620,17842,5504,188262.1485,4.0332,16428,17318,177.7,1252,4.38,131620,38930,-15015,23915
47993,613,4895,15390,8441,10416,30664,-6231,0.320671765,1.565125228,0.175879816,0.484149856,0.392349168,2.5675,21514,17329,959,46275.7244,15.0356,13015,3129,49.968,416,3.41,21514,6274,-2113,4161
3489.8,59.2,35.4,1353.9,567.8,1031.9,2282.4,1706.1,0.387959195,1.529004557,0.162702734,0.253450901,0.139460628,1.12,4071.4,1207.4,52.1,4250.019,12.6961,1207.4,21.1,17.696,525.9,2.58,4071.4,552.4,-265.3,287.1
3711.542,457.549,0.298,435.707,306.056,1253.518,1221.039,2190.193,0.117392448,3.039658848,0.082460605,0.62072524,0.151554811,0,2019.441,2490.503,21.692,4066.0302,84.8264,2490.503,276.286,7.77,490.224,4.04,2019.441,186.21,8.581,194.791
4655.501,456.535,76.8,1866.866,434.773,434.773,3189.634,463.479,0.401002169,1.459572164,0.09338909,0.333260259,0.333260259,1.62,1304.605,1465.867,86.278,2376.8446,28.6347,1465.867,-26.122,2.003,86.943,2.98,1304.605,428.004,483.702,911.706
13637,121.3,0,5895.1,2075.4,2193.8,7119.8,997.8,0.43228716,1.915362791,0.152188898,0.539892701,0.510754541,0.6,4063.4,6517.2,303.7,3622.0365,27.6733,6512.9,-1594.2,6.4,235.3,4.8,4063.4,1687,-191.8,1495.2
94408,11302,1234,8730,9700,16556,88011,26008,0.092470977,1.072684096,0.10274553,0.172253782,0.100921822,3.64,96114,6397,497,96387.1642,9.5031,6335,6328,161.4,47257,8.37,96114,9363,-7920,1443
4220,58,1,590,204,361,2275,-1713,0.139810427,1.854945055,0.048341232,0.099039781,0.055967078,0,3645,1945,41,677.515,21.5866,1932,-126,8,541,-1.47,3645,138,-62,76
139514,2774,11482,50132,5519,6889,82287,16998,0.359333114,1.695456147,0.039558754,0.343453983,0.275152059,0.4733,20058,57227,2820,30309.5052,22.4365,21568,1561,55,5281,2.12,20058,2788,8222,11010
1458.962,118.39,0,225,146.882,436.105,884.712,792.383,0.154219233,1.649081283,0.100675686,0.230164929,0.077520517,0.52,1894.75,574.25,19.532,854.6432,12.9411,574.25,-38.166,5.48,378.688,1.42,1894.75,148.096,-64.478,83.618
31748,2385,139,6550,2858,13418,17324,29145,0.206312209,1.83260217,0.090021419,0.8102657,0.172584541,1.48,16560,14424,184,114810.51,8.5476,14266,1522,25,1221,1.24,16560,1832,-3351,-1519
26406,223,956,11182,4389,4389,18734,2487,0.423464364,1.409522793,0.166212224,0.353097345,0.353097345,1.64,12430,7672,503,22737.918,12.9093,7672,1848,47.64,360,2.58,12430,3542,1098,4640
3152.5,657.3,6,442.5,515.3,1203.5,1871.2,1186.3,0.14036479,1.684747755,0.163457573,0.293129064,0.125508439,0.525,4105.7,1281.3,28.5,4586.9646,14.1092,1281.3,247.8,12.607,685,2.42,4105.7,323.5,-163.5,160
2940.197,4.984,77.654,945.464,255.417,487.027,1996.806,306.327,0.321564848,1.472450003,0.08687071,0.11572928,0.060693197,0,4208.33,943.391,48.655,1392.1901,11.7295,939.57,-117.457,15.9,90.599,0.14,4208.33,367.413,-258.92,108.493
2143.2,365.2,76.8,235.5,187.8,717.9,3521.8,-5791,0.109882419,0.608552445,0.08762598,0.238101556,0.062286491,0,3015.1,-1378.6,15,551.395,-27.8497,-1389.7,58.2,23,43.8,0.05,3015.1,1.2,90.6,91.8
57088,1968,149,5020,4330,4330,44975,10871,0.087934417,1.269327404,0.075847814,0.114320414,0.114320414,0.04,37876,12044,252,37540.0835,46.912,12035,1745,39.3,0,8.59,37876,2717,-530,2187
55047,387,350,2212,696,696,43291,8998,0.040183843,1.271557599,0.012643741,0.077256077,0.077256077,3,9009,11756,155,9500.1311,43.4966,11756,-236,6.9,0,1.77,9009,1387,-807,580
35039,628,20,10683,4820,4820,23371,10573,0.304888838,1.499251209,0.137561003,0.40809415,0.40809415,0.7,11811,11668,544,25055.0883,12.0682,11652,1969,29.41,350,1.97,11811,3370,-519,2851
3075,77,23,970,469,795,1710,1179,0.315447154,1.798245614,0.152520325,0.276907001,0.163357715,0.88,2871,1365,53,1971.1745,19.7573,1234,-569,4.6,397,2.81,2871,499,-256,243
8089,253,1543,2552,1529,3091,6713,1585,0.315490172,1.204975421,0.189022129,0.382454838,0.189185845,1.248,8082,1376,111,15286.1,4.4516,1380,351,18.6,993,2.48,8082,1182,-526,656
36402,153,1442,8985,6424,6424,21452,10870,0.246827097,1.696904718,0.17647382,0.509396559,0.509396559,1.25,12611,14950,439,60889.92,18.9914,14950,4198,23.172,355,4.42,12611,5140,-2223,2917
19637,650,30,8927,3184,3184,14841,2695,0.454601008,1.323158817,0.162142894,0.474374255,0.474374255,1.4,6712,4796,409,27039.69,31.3464,4796,2094,12.899,188,8.4,6712,2459,-957,1502
14987.8,900.6,768.4,2971.4,1459.8,4144.2,9198.1,4320.1,0.19825458,1.629445212,0.097399218,0.337486563,0.118880094,2.1,12279.6,5789.7,124.8,9031.1861,67.4336,4994.2,727.4,27.772,1764.5,8.33,12279.6,978.9,-427.1,551.8
30142,4616,281,5211,2660,5900,23886,5498,0.172881693,1.261910743,0.088248955,0.057543572,0.025943373,1.459,102531,6256,141,27437.2,19.0732,6256,1122,34.5,9211,3.95,102531,2540,60,2600
2905.9,70,0,607.1,268,440.6,1580,1004.2,0.208919784,1.839177215,0.092226161,0.197871289,0.12035748,0.72,2226.7,1325.9,30.4,1946.3002,26.3504,1325.9,-24.3,4.9,655.8,1.48,2226.7,282.6,-159.4,123.2
78497,6460,12846,25247,8995,16359,63612,27211,0.321630126,1.23399673,0.114590367,0.347982387,0.191338197,2.94,47011,14885,1094,39574.6031,25.4309,14809,1536,105.7,9700,4.55,47011,6675,-3870,2805
47604,126,1503,18722,6960,10136,33544,-1662,0.393286278,1.419150966,0.146206201,0.566256983,0.388826816,2.16,17900,14060,1364,13682.008,25.8551,14060,961,43,144,1.67,17900,5152,-2301,2851
2069.06,115.432,19.014,238.295,222.833,222.833,996.94,1211.048,0.115170657,2.075410757,0.107697698,0.048469352,0.048469352,0,4597.4,1066.183,6.581,1522.5087,43.1793,1066.183,31.294,6.9,50.749,2.43,4597.4,239.185,-185.869,53.316
266103,11022,4928,33664,17680,25329,112217,177287,0.126507405,2.3713252,0.066440438,0.206656006,0.144248813,4.28,122566,153886,495,169377.9474,81.1105,152716,5155,61.5,6334,2.58,122566,19456,2815,22271
1435.873,55.121,3.439,970.825,457.217,594.675,1514.333,2423.053,0.676121774,0.94818841,0.318424401,0.198074595,0.152290028,1.2,3002.278,-78.46,29.006,3492.7829,-1.295,-78.46,189.004,53.016,23.035,3.12,3002.278,368.611,-232.863,135.748
4256.9,330,363,787.6,781.3,1610,2233.7,2604.1,0.185017266,1.905761741,0.183537316,0.474254743,0.230146106,1.34,3394.8,2023.2,30.5,11030.4955,15.5686,2023.2,399.2,4.4,274,3.31,3394.8,606.1,-535,71.1
2277.444,74.528,16.25,765.532,278.598,408.784,1660.247,483.171,0.336136476,1.371750107,0.122329243,0.337196785,0.229809264,1,1212.301,617.197,28.595,2348.734,37.1805,617.197,64.734,4.53,0,4.87,1212.301,264.526,-190.644,73.882
1454.4,7.4,13.8,1231.8,284.9,497.4,1752.6,-3005.2,0.846947195,0.82985279,0.195888339,0.425929097,0.243963007,0,1167.8,-298.2,104.2,755.5572,-2.1606,-453.45,356.6,3.25,20.6,0.07,1167.8,110.9,-544.6,-433.7
13821.098,772.678,181.512,20687.082,1793.852,3782.171,24427.779,-12851.418,1.496775582,0.565794295,0.129790846,0.605969928,0.287406457,0,6241.516,-10606.681,1805.496,80.631,-120.3739,-10784.296,-856.022,18.7,24.833,-8.44,6241.516,-77.304,377.41,300.106
2135.5,285.2,17.9,2755.6,260.4,370.4,3947.1,-4766.4,1.290376961,0.541030123,0.121938656,0.183393573,0.128930039,0,2019.7,-1811.6,228.5,242.6754,-17.6617,-2712.7,-521.5,2.638,440,-1.09,2019.7,37.9,61,98.9
4164,,398,1802,1169,2626,4046,1421,0.432756964,1.029164607,0.280739673,0.464367816,0.206719717,3.02,5655,118,100,13378.4283,0.9175,118,495,7.7,385,4.68,5655,874,-696,178
1850.816,55.498,7.063,672.6,179.04,979.128,1528.384,178.265,0.363407275,1.21096269,0.09673571,0.424515859,0.077625519,1,2306.458,322.432,28.915,1303.4864,26.1547,243.056,66.509,9.5,89.464,4.05,2306.458,108.29,155.456,263.746
90093,7309,15806,28407,12149,28721,64329,54844,0.315307516,1.400503661,0.134849544,0.648417393,0.274280941,1.32,44294,25764,536,185759.04,5.9098,25554,2954,123.2,2902,1.97,44294,10528,-5113,5415
1332.489,200.714,10.431,479.979,-199.341,-146.905,911.013,-2604.498,0.360212354,1.462645429,-0.149600485,-0.227376851,-0.308536325,0,646.086,421.476,48.801,375.3207,2.785,421.476,-368.097,2.005,149.04,-2.89,646.086,113.542,29.008,142.55
11958,970,302,6269,4435,9835,12002,14911,0.524251547,0.996333944,0.370881418,0.613384059,0.276599726,1.5,16034,-44,139,59474.2056,-0.3349,-299,941,37.9,1180,2.83,16034,2949,-2276,673
27164,384,562,5175,2567,2567,21001,694,0.190509498,1.293462216,0.094500074,0.219739771,0.219739771,1.15,11682,6163,273,24878.258,22.6316,6106,1096,68.79,0,5.38,11682,2009,-1689,320
166574,2295,3627,48994,24856,24856,111375,21239,0.294127535,1.495613917,0.149218966,0.333592806,0.333592806,0.975,74510,53978,2655,137824.5191,21.4007,52269,8135,153,0,3.28,74510,18778,-8429,10349
1731210,20900,254282,157738,35673,35673,1508118,104497,0.091114307,1.147927417,0.020605819,0.40411215,0.40411215,0.16,88275,223092,6869,,69.4614,205139,11114,231,193772,5.53,88275,39737,-64773,-25036
3372.302,485.323,71.673,1277.882,423.906,862.681,2052.952,1198.009,0.378934627,1.642659936,0.125702265,0.145156614,0.071327362,0.48,5943.105,1319.35,77.76,1815.4695,11.4083,1319.201,47.608,9.126,781.371,1.2,5943.105,313.461,-180.691,132.77
17634,452,26,12295,2969,4062,17195,-1949,0.697232619,1.025530678,0.168367926,0.477769936,0.34921195,0,8502,439,485,3549.162,4.4888,439,188,30,0,2.87,8502,2584,115,2699
716.518,0.731,18.927,177.654,39.541,39.541,491.769,79.443,0.247940736,1.457021488,0.055184936,0.408321114,0.408321114,1.05,96.838,224.749,6.737,425.4459,20.0105,223.977,23.429,0.266,1.617,2.07,96.838,41.146,5.967,47.113
20340,266,955,8559,1913,1913,16365,-902,0.42079646,1.242896425,0.094051131,0.296313507,0.296313507,1.16,6456,3975,400,10000.041,14.2082,3938,525,7.804,778,1.9,6456,1640,463,2103
14919.808,11.463,2.144,7115.644,1765.159,1974.418,10250.908,3319.546,0.476925977,1.455462092,0.118309766,0.736677229,0.658600378,0,2680.167,4668.9,313.079,8570.5978,12.5185,4668.9,-356.637,1.143,94.151,-0.96,2680.167,1857.101,1187.189,3044.29
2436.176,505.157,13.037,296.412,475.888,738.858,1418.565,1586.156,0.121671012,1.717352395,0.195342208,0.24853098,0.160075293,0.42,2972.901,1017.611,28.293,2113.2791,17.5389,979.248,233.601,9.119,412.561,3.73,2972.901,300.314,-156.667,143.647
4460.61,16.426,244.193,1105.764,554.493,1280.536,1786.706,1587.797,0.247895243,2.496555113,0.124308783,0.712572758,0.308555641,0.06,1797.06,2673.904,24.303,7354.1125,55.2645,2667.509,119.15,10.2,419.692,5.9,1797.06,390.97,-106.677,284.293
12276.3,430.9,28.7,2908.7,584.6,1599.6,5213.2,2801.1,0.23693621,2.354849229,0.047620211,0.448381219,0.163868255,1.64,3567.5,7063.1,121,17327.642,38.1734,7043,-437,9.1,179.3,3.18,3567.5,696.4,-512,184.4
28547,4500,572,3910,2578,4829,9684,12021,0.136967107,2.947852127,0.090307213,0.530018659,0.28295467,0.48,9111,18863,175,20656.4,14.5912,16488,835,35.7,1385,1.07,9111,2809,-2603,206
3341.6,363.5,49.6,749.3,461.7,1027.8,2190.8,1297.6,0.2242339,1.525287566,0.138167345,0.375041051,0.168472906,1.32,2740.5,1150.8,37.6,2779.9346,19.608,1139.4,150.4,11.2,376.9,4.18,2740.5,229.3,-143.8,85.5
21056,939,14,17300,699,699,18451,1217,0.821618541,1.14118476,0.033197188,0.318886861,0.318886861,0,2192,2605,715,5586.8808,20.4544,2751,-278,11.4,796,-1.58,2192,731,1968,2699
2366,323,46,471,262,435,1364,-2588,0.199070161,1.734604106,0.110735418,0.249283668,0.150143266,0,1745,1002,30,1832.544,14.8958,1001,71,2.5,315,1.98,1745,159,-189,-30
10020,717,263,5255,1267,1657,9585,-979,0.524451098,1.045383412,0.126447106,0.189112075,0.144601689,0,8762,435,270,7069.6587,1.0327,144,4,24,1213,3.52,8762,956,406,1362
15134,1711,63,1576,2631,5458,7384,8974,0.104136382,2.049566631,0.173846967,0.28531103,0.137532671,3.51,19130,7750,77,15340.143,42.49,7406,1129,55.2,2707,8.78,19130,2059,-1644,415
4108.72,327.216,23.29,2402.823,478.679,686.224,3355.806,-427.455,0.584810598,1.224361599,0.116503193,0.366906433,0.255937426,0.225,1870.297,752.914,86.067,2932.8326,2.7649,752.914,121.613,21.2,4.312,0.49,1870.297,212.48,-175.724,36.756
4326,791,22,1553,618,1009,3495,-1584,0.358992141,1.23776824,0.142857143,0.16650165,0.101980198,0.23,6060,831,113,2070.9384,4.8511,728,-18,23.1,625,0.92,6060,406,-403,3
48222.2,790.8,845.2,12025.2,4813.2,11999.6,24458.2,18701.1,0.249370622,1.971616881,0.099812949,0.583550146,0.234069766,0.505,20563.1,23764,162.8,63789.984,34.4937,23690.3,2479.9,81,2095.4,4.02,20563.1,3801.8,9050.2,12852
57947.6,4162.2,13016.6,23832.8,4303.5,8601.9,51190,18415.4,0.411281917,1.132010158,0.074265371,0.303698656,0.151939358,2.4,28323.8,6757.6,686,24701.586,21.2936,6743.4,993.6,57.18,3817,5.69,28323.8,3740.3,-2119.1,1621.2
53134,1972,1563,6766,9672,13342,42284,348,0.127338427,1.25659824,0.182030338,0.327781053,0.237617925,0.45,40704,10850,481,39476.561,13.932,10850,4562,82.949,697,5.71,40704,7927,-4088,3839
1844.402,62.427,435.045,196.222,439.465,1212.124,1099.333,696.05,0.10638787,1.677746415,0.23826964,0.683727649,0.247890786,1.2,1772.817,745.069,20.299,2673.4963,15.1996,745.069,199.764,5.874,49.427,4.62,1772.817,307.933,-46.689,261.244
28737,37,972,8835,2202,2202,19942,4649,0.307443366,1.441028984,0.076625953,0.213021186,0.213021186,2.8,10337,8795,463,14391.6993,48.8772,8772,737,10,803,4.44,10337,1911,282,2193
88182,4269,4590,12968,15578,24101,39527,56607,0.147059491,2.230930756,0.176657368,0.459372915,0.296921757,1.81,52465,48655,375,173740,26.1912,44525,7929,185,2741,5.2,52465,10909,-5514,5395
58797,607,5335,23616,5115,5115,45195,5984,0.401653146,1.300962496,0.086994234,0.43781563,0.43781563,2.59,11683,13602,1004,40313.44,21.2483,12664,1841,14.7,1348,3.39,11683,4475,2317,6792
7279.3,389.6,234.6,3188.3,1202.7,2474.8,6582.7,-1413.8,0.437995412,1.105822839,0.165221931,0.219849336,0.106842087,1.04,11256.8,696.6,285.2,3073.536,3.2696,682.7,131.5,68.4,592,1.53,11256.8,652,-436.5,215.5
8619.763,362.185,153.952,2619.665,1303.055,2916.427,4975.188,7432.069,0.303913808,1.732550207,0.15117063,0.419249082,0.187319831,1.64,6956.311,3644.575,131.676,9503.2952,23.5128,3644.575,774.187,26,802.895,4.1,6956.311,835.113,-1091.886,-256.773
68026,8577,995,16215,8532,13050,41843,19758,0.238364743,1.625743852,0.125422633,0.267538644,0.174914921,1.68,48778,26183,1164,57500.1742,19.1362,21374,7068,49.495,6871,3.51,48778,7516,-3041,4475
22110.7,2605.2,1029.4,3599.4,2211.2,2211.2,19053.4,9162.8,0.162789961,1.160459551,0.10000588,0.146104239,0.146104239,2,15134.4,2889.4,181.1,18135.702,10.2311,2452.4,696.7,74.9,1122.7,4.43,15134.4,2172.3,-1429.1,743.2
41166,5300,1165,7642,4369,10872,30966,5114,0.185638634,1.329393528,0.106131273,0.430267532,0.172906443,1.72,25268,10200,322,58031.7102,11.1965,9756,645,52,6140,2.49,25268,2316,-1823,493
121156,857,5707,37495,8890,8890,81385,1758,0.309477038,1.488677275,0.073376473,0.378959035,0.378959035,3.24,23459,39771,1711,49116.32,57.7427,39727,2553,29.188,3810,4.37,23459,6676,-2578,4098
2273.6,365.7,20,1804.1,456,1092.4,3378.9,1967.3,0.793499296,0.672881707,0.200562984,0.667277503,0.278541323,1.85,1637.1,-1105.3,51,3751.873,-30.9363,-1116.8,125.4,5,0,6.89,1637.1,343.2,110.7,453.9
5103.85,366.444,60.434,1570.836,751.335,1677.714,3420.117,3047.077,0.307774719,1.492302749,0.14720946,0.367836651,0.164729239,0.7,4561.03,1683.733,65.27,5432.1072,12.9094,1666.477,108.038,19,995.565,2.82,4561.03,417.092,61.322,478.414
4166.295,237.932,1.123,1011.762,419.838,1143.874,2055.854,1945.475,0.242844542,2.026551983,0.100770109,0.505611178,0.185575322,0.28,2262.359,2110.441,37.997,6001.6614,18.8375,2110.441,141.669,8,288.028,2.01,2262.359,287.098,-107.139,179.959
18641.7,92.8,2205.3,4260.2,2908.2,7253.7,11661.3,4737,0.22853066,1.598595354,0.156005085,0.535522071,0.214704949,1.32,13545.1,6980.4,253.7,33852.8198,23.3468,6909.9,530.7,47.145,1388.2,4.44,13545.1,1999.8,-1150.9,848.9
3233.852,8.149,141.738,1134.284,236.015,236.015,2217.314,1053.482,0.350753219,1.458454689,0.072982623,0.277707506,0.277707506,1.165,849.869,1016.538,67.164,1552.5125,25.2086,1016.538,76.005,1.1,48.697,2.03,849.869,246.671,63.708,310.379
22088,3054,2553,4289,4475,9659,13960,19691,0.194177834,1.582234957,0.202598696,0.433061334,0.200636657,1.885,22304,8128,200,28914.0795,12.3448,8081,1668,110.8,1847,3.4,22304,2529,-2948,-419
