Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,Total debt/total asset,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Book Value Per Share,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Earnings Per Share from Operations,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow
48415,390,2231,18330,8891,15574,42780,-5962,0.378601673,1.13172043,0.183641433,0.379946328,0.216906563,0.4,40990,5635,932,26452.7417,9.0215,5635,7437,118.5,863,9.38,40990,6249,-1259,4990
15028.258,39.488,357.58,3462.391,1349.024,1349.024,10308.801,2048.055,0.230392039,1.457808527,0.089765826,0.38593792,0.38593792,2.41,3495.443,4719.457,194.964,7155.9904,41.304,4583.917,460.65,6.407,279.931,3.94,3495.443,1094.327,3.79,1098.117
41247,5001,3130,5871,4844,12683,19921,19099,0.142337625,2.070528588,0.117438844,0.621563342,0.237392796,0.96,20405,21326,163,66137.3852,14.4031,21211,2674,74,2599,1.83,20405,2966,-2236,730
2254.303,485.305,0,0,182.465,363.325,138.558,1963.263,0,16.26974263,0.080940761,0.499662376,0.250934826,0.668,727.141,2115.745,1.759,2344.828,34.2875,2115.745,319.893,1.597,123.252,2.81,727.141,236.381,-113.923,122.458
53424.1,2524.3,0,7828,5434.2,16394.3,37245.5,11467.1,0.146525632,1.434377307,0.101718138,0.27220893,0.090228785,1,60226.9,16178.6,363.6,37787.94,46.1067,16114.3,2171.2,50.1,0,7.18,60226.9,3866.1,-1734.7,2131.4
17438.1,206.4,1929.9,3949.1,2806.7,3887.2,10057,8454.5,0.226463892,1.733926618,0.160952168,0.392848841,0.283651174,3.2,9894.9,7381.1,152.6,27475.5012,33.6601,7249,393.9,19.7,768.6,6.64,9894.9,2437.8,-945.4,1492.4
6533,73,115,571,1650,2217,4122,2587,0.087402418,1.584910238,0.252563906,0.396034298,0.294748124,0.8,5598,2411,42,10077.8393,19.261,2411,855,15.143,51,6.56,5598,1584,-688,896
34195,2716,86,6544,1911,3167,13794,14973,0.191373008,2.478976367,0.055885363,0.477245329,0.287974684,1,6636,20401,386,13867.5101,67.7723,19386,-3310,2.77,399,-5.49,6636,1981,2497,4478
10612.119,152.294,0,739.805,335.488,335.488,9466.347,965.039,0.069713221,1.121036341,0.031613667,0.238728142,0.238728142,0.64,1405.314,1145.772,33.507,2281.0673,23.7235,1145.772,106.579,2.626,5.358,3.7,1405.314,259.089,-235.268,23.821
771.987,5.989,3.056,290.684,124.353,216.232,515.852,86.234,0.376540019,1.496528074,0.161081728,0.384023301,0.220848207,0.72,563.07,256.135,23.37,792.1692,11.7823,256.135,16.231,1.4,0,1.6,563.07,71.547,-108.358,-36.811
61683.1,176.4,2728,17988.2,5343.2,5343.2,43778.2,8271.2,0.291622827,1.408991233,0.086623403,0.324751416,0.324751416,2.15,16453.2,17904.9,935.2,28613.6583,36.4354,17891.7,2017.1,17.405,1339.4,3.59,16453.2,4818.5,-789.4,4029.1
161184,22762,11626,41247,10011,10011,140511,7131,0.255900089,1.147127271,0.062109142,0.290671003,0.290671003,1.1,34441,20673,736,67393.95,19.6832,19073,4548,54.8,14992,5.32,34441,10972,-2029,8943
6664.53,381.005,386.075,1556.045,1093.781,1541.568,3409.904,3569.162,0.233481581,1.954462648,0.16411975,0.387884644,0.275213843,0.36,3974.295,3254.626,91.795,12621.2489,13.8192,3254.626,452.122,15.4,514.451,2.56,3974.295,672.54,-216.964,455.576
71576,4144,2250,29306,10711,19595,43493,-2566,0.409438918,1.645690111,0.149645132,0.904579448,0.494460345,3.16,21662,28083,1095,122396.82,37.2454,28083,6467,17.9,2435,9.27,21662,9077,-3117,5960
7062.178,884.353,374.839,498.497,1286.632,2393.184,1989.219,4386.464,0.070586864,3.550226496,0.182186289,0.696687017,0.374555325,1.6,3435.092,5072.959,27.03,18761.1073,16.2563,5072.959,814.553,9.7,412.314,3.01,3435.092,907.798,-571.603,336.195
9537.84,254.53,6.508,3655.2,1119.226,1493.001,5243.972,3083.541,0.383231423,1.81881978,0.117345856,0.386343729,0.289622007,0.24,3864.437,4293.868,202.328,2392.8758,15.231,4282.71,-498.87,13.5,153.824,-0.81,3864.437,856.556,-849.941,6.615
18842,1467,1,8777,-21913,-21536,14614,-7269,0.465821038,1.289311619,-1.162986944,-3.373962087,-3.433025223,1,6383,4228,497,16811.172,6.7877,2566,-23119,3.86,570,-55.61,6383,2984,-2962,22
290479,21120,10999,53463,81730,104126,171124,91939,0.184051171,1.697476684,0.281362852,0.445525533,0.34969942,2.03,233715,119355,733,615336.4559,21.3946,119355,51967,110,2349,9.28,233715,81266,-17716,63550
15308,4797,1200,3342,2063,4333,7695,13875,0.21831722,1.98934373,0.134766135,0.448597163,0.213583187,0.4,9659,7613,103,19453.2,6.5629,7613,1361,15.5,1833,1.17,9659,1163,913,2076
1636.917,168.846,3.969,584.309,195.446,490.747,963.916,1153.536,0.356957011,1.698194656,0.119398846,0.392832042,0.156450169,0.04,1249.254,673.001,29.957,1269.3766,11.3671,673.001,-125.36,5.6,142.752,1.72,1249.254,128.968,-12.951,116.017
40157,910,98,5779,2884,4894,22242,14719,0.143910153,1.805458142,0.071818114,0.072287377,0.042598446,1.12,67702,17915,319,21824.6,30.0824,17899,944,32.3,8243,2.81,67702,2481,-2649,-168
13021.93,273.09,44.024,2380.575,1049.001,3035.25,8827.119,4389.774,0.182812763,1.475218585,0.080556492,0.130368843,0.045056271,0,23282.02,4194.811,141.702,4926.2081,45.5599,4142.443,277.637,18.5,2466.49,5.8,23282.02,655.079,-84.187,570.892
10064,1257,381,3348,816,1866,7027,2990,0.332670906,1.432190124,0.081081081,0.346389456,0.151475775,1.51,5387,3037,176,6741.54,45.3284,3037,-89,10.5,706,3.65,5387,334,-30,304
19055,800,21,8035,1531,1531,12162,3180,0.421674101,1.566765335,0.080346366,0.370612443,0.370612443,0.99,4131,6893,385,4103.6422,29.1765,3356,259,7.86,87,2.44,4131,1680,343,2023
4809.011,113.983,0,1685.946,779.457,836.686,1861.841,2669.42,0.350580608,2.582933237,0.162082599,0.599409249,0.558409888,1,1395.851,2947.17,74.751,957.5257,45.5837,2947.17,428.284,1.868,137.998,6.7,1395.851,604.287,-117.963,486.324
33110.5,1639.3,2.5,9.2,2291.9,4788.8,28302,13199.7,0.000277857,1.169899654,0.069219734,0.437793116,0.209525986,1.96,10938.5,4808.5,6.5,37419.272,10.3098,4808.5,1101.9,55,0,2.89,10938.5,1905.6,1616.7,3522.3
742.016,46.898,47.405,280.578,25.864,41.864,440.335,-117.463,0.378129313,1.685117013,0.034856391,0.080831016,0.049938214,0,517.92,301.681,28.207,286.0857,13.5083,301.681,11.95,0.308,582.531,0.57,517.92,-58.977,23.366,-35.611
10799.953,932.553,331.115,1646.501,1065.797,3340.439,6114.932,3141.561,0.15245446,1.766160768,0.098685337,0.119623278,0.038166879,0.66,27924.657,4685.021,95.665,5568.9662,34.5847,4685.021,-8.637,18.8,2482.183,4.26,27924.657,583.883,-340.988,242.895
3879.5,686.9,55.2,2159.6,476.3,3868.6,4935.9,1081.9,0.556669674,0.785976215,0.122773553,0.627968509,0.077315153,0.24,6160.5,-1056.4,120.5,1763.775,-2.4576,-1070.3,-1294.6,28.3,624,0.02,6160.5,112.1,-445.5,-333.4
24080,2324,151,3890,1819,3262,7698,8609,0.16154485,3.128085217,0.075539867,0.207216364,0.115550756,0.68,15742,16382,217,20167.55,37.2952,16298,-2223,43,2917,-0.46,15742,1796,-282,1514
9777,224,77.3,5054.2,1085.4,1536.7,8515.7,3917.6,0.516947939,1.148114659,0.111015649,0.19215956,0.135725897,0.52,7997,1261.3,143.2,10348.679,8.7941,1251.3,163.1,15.2,898.4,3.53,7997,1006.7,1737.1,2743.8
