Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,Total debt/total asset,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Book Value Per Share,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Earnings Per Share from Operations,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow
6420.963,377.615,286.201,1427.825,1037.17,1499.807,3181.402,3203.029,0.222369293,2.018280934,0.16152873,0.372904133,0.2578765,0.33,4021.964,3239.561,79.928,12701.4611,13.4235,3239.561,382.805,15.4,495.896,2.44,4021.964,725.962,24.139,750.101
69009,3731,500,30215,8956,17936,43231,-4632,0.437841441,1.596285073,0.129780174,0.893983951,0.446393859,2.44,20063,25778,1089,121124.116,33.9006,25778,5311,17.9,2647,7.37,20063,8555,-2877,5678
6859.69,569.233,0,872.789,965.515,1946.138,2101.793,4062.97,0.127234467,3.263732442,0.140751987,0.679334104,0.337030194,1.48,2864.773,4757.897,34.784,15441.9921,15.2886,4757.897,541.34,9.6,367.927,2.17,2864.773,871.602,-576.61,294.992
11879.942,501.149,6.19,4348.859,1740.519,2299.133,6961.153,3650.694,0.36606736,1.706605501,0.146509049,0.337899241,0.255800795,0.2,6804.197,4918.789,202.348,3756.5158,16.9609,4908.619,-808.879,29,230.067,-0.33,6804.197,1781.911,69.848,1851.759
55952,769,0,11245,4884,5318,27815,16133,0.200975836,2.011576488,0.087289105,0.386791767,0.355225835,0.95,13749,28137,505,23595.5684,68.8889,25937,-5404,4.95,708,-2.02,13749,8461,-794,7667
231839,13844,6308,28987,60449,78483,120292,88234,0.125030733,1.927301899,0.260736977,0.429349818,0.330692853,1.8457,182795,111547,384,591015.7208,19.0153,111547,41063,97,2111,6.49,182795,59713,-37549,22164
13174,3002,0,1947,1973,4194,5306,12996,0.147791104,2.482849604,0.149764688,0.462301587,0.217482363,0.4,9072,7868,95,26971.89,6.4439,7868,1034,14.95,1567,0.95,9072,1800,-348,1452
1856.879,109.012,4.5,385.5,250.748,582.341,855.168,1281.194,0.207606419,2.171361651,0.13503734,0.415998863,0.179123371,0.04,1399.862,1001.711,26.045,2235.7931,15.1122,1001.711,163.825,5.8,162.62,1.96,1399.862,125.234,-380.992,-255.758
44027,1099,132,5558,3836,5645,24397,14460,0.126240716,1.804607124,0.087128353,0.069518848,0.047240798,0.96,81201,19630,355,33124,30.73,19575,1064,33.9,9374,3.31,81201,4962,-3577,1385
12442.856,400.355,13.454,2075.453,1036.146,2995.895,8283.945,4112.137,0.166798764,1.502044738,0.083272361,0.131579687,0.045507525,0,22768.674,4158.911,121.537,5551.3616,43.3179,4153.97,207.876,17,2335.257,5.66,22768.674,673.301,-434.886,238.415
10951,1393,338,2942,574,1823,7368,3582,0.268651265,1.486292074,0.052415305,0.297827152,0.093775527,1.36,6121,3583,173,7287,51.1857,3583,52,11,765,2.95,6121,643,-1034,-391
17689,595,103,7285,1688,1688,11409,2996,0.411837865,1.550442633,0.095426536,0.370663153,0.370663153,0.86,4554,6280,373,5488.8472,27.5141,3168,365,9.17,110,3.06,4554,1681,236,1917
4507.228,80.08,11.885,1742.122,550.139,611.6,1951.704,2289.698,0.386517389,2.309380931,0.12205706,0.52097486,0.468620975,0,1173.953,2555.524,71.803,2811.9758,39.7055,2555.524,345.864,1.905,132.368,5.31,1173.953,442.62,462.905,905.525
32051.7,1983.6,2175.8,11.5,2558.9,5321.3,25381.5,13811.1,0.000358795,1.262797707,0.079836639,0.435939868,0.209634211,1.92,12206.5,6670.2,6.1,38070.256,13.8905,6670.2,1678.7,61,0,3.17,12206.5,1821.4,-2358.2,-536.8
668.886,180.334,0.46,300.813,8.585,23.426,382.146,-129.413,0.449722374,1.750341493,0.012834773,0.081806118,0.029979746,0,286.36,286.74,18.107,321.589,12.9911,286.74,-1.932,0.214,383.184,-0.04,286.36,-81.409,185.114,103.705
11255.517,928.971,865.088,1213.814,1021.751,3362.919,6365.324,3396.919,0.107841692,1.768255159,0.090777794,0.122289502,0.037155049,0.62,27499.654,4890.193,104.823,6125.8132,35.3724,4890.193,656.221,19,2613.363,4.05,27499.654,237.418,-88.497,148.921
5496.8,960.5,137.1,2463.9,910.5,5662.9,5191.5,2485.3,0.448242614,1.058807666,0.165641828,0.639774499,0.102865083,0.24,8851.4,305.3,111.1,4081.833,0.6667,289.8,-730.8,33.2,822.2,0.81,8851.4,359.8,-218.8,141
28827,1740,220,3913,4824,6705,10097,11129,0.135740799,2.855006438,0.167343116,0.273104965,0.196488941,0.64,24551,18730,232,24334.38,42.9147,18625,1474,62,4074,4.2,24551,2953,-939,2014
7571,191.4,175.1,2993.8,1200,1666.5,6331.4,3824.8,0.39542993,1.195786082,0.158499538,0.19445741,0.140023337,0.52,8570,1239.6,159.9,9336.9722,7.5427,1033.1,197.9,14.5,1016.7,3.99,8570,1012.5,-845.3,167.2
5092.6,960.1,78,1401.9,991.4,2241.2,3287.7,-159.1,0.275281781,1.548985613,0.194674626,0.674329041,0.29829101,0.86,3323.6,1804.9,44.8,12478.6717,24.0997,1804.9,226.6,13.9,376.2,7.72,3323.6,660,-584.4,75.6
33879,2699,333,12748,1700,2493,21017,-10900,0.376280292,1.611980777,0.050178577,0.243266979,0.165886027,0.2,10248,12862,769,12520.2025,8.7982,10247,-3056,17.26,2722,-1.59,10248,2296,-60,2236
25917,2925,1699,7606,4093,9209,17761,9577,0.293475325,1.459208378,0.157927229,0.552396377,0.245516166,2.02,16671,8156,237,39750.8836,14.9711,8120,823,66,3559,4.24,16671,3215,-1402,1813
12447,1861,203,3767,2148,4800,7394,11104,0.302643207,1.683391939,0.172571704,0.568316363,0.254321572,2.235,8446,5053,167,21839.2285,26.3325,5053,699,30.619,1495,6.39,8446,1746,-807,939
232708,10598,2735,110536,36132,77148,219032,3558,0.474998711,1.062438365,0.155267546,0.60708693,0.284327072,2.14,127079,13676,4891,194369.2159,2.9598,12298,8378,177.3,1153,2.3,127079,30631,-57705,-27074
46297,566,3743,16355,8202,10195,31058,-6916,0.35326263,1.490662631,0.177160507,0.484507176,0.389791845,2.435,21042,15239,962,44772.7824,13.0163,10938,1999,57.234,333,3.19,21042,6241,-2440,3801
3615.1,47.1,31.3,1315.9,568.4,1029.1,2182.1,1795.1,0.364000996,1.656706842,0.157229399,0.236928744,0.130862208,1.08,4343.5,1433,61,4439.622,14.5927,1433,-1.9,16.944,575.8,2.33,4343.5,248.1,-370.8,-122.7
3341.278,413.251,0.265,435.71,365.923,1338.284,1156.123,1913.907,0.130402199,2.890071385,0.10951588,0.615290541,0.168237056,0,2175.044,2185.155,21.531,3504.4243,75.1687,2185.155,-32.927,7.6,470.997,4.58,2175.044,273.312,11.689,285.001
4245.902,21.218,350,1267.589,408.613,408.613,2892.018,562.205,0.298544102,1.468145081,0.09623703,0.293213115,0.293213115,1.56,1393.57,1353.884,73.017,2369.4029,30.3072,1353.884,133.267,2.021,91.191,2.95,1393.57,323.457,91.067,414.524
16059.9,664.8,34.8,5885.6,2355.7,2487.6,7837,2732.3,0.366477998,2.049240781,0.146682109,0.544988498,0.516091576,3,4564.5,8222.9,239.6,7015.7875,35.0694,8215,-3908.9,8.5,240.3,6.44,4564.5,2054.1,442.7,2496.8
99198,11733,929,8141,9240,16054,90408,22277,0.082068187,1.097225909,0.093147039,0.176880192,0.10180472,2.92,90762,8790,504,91860.5054,12.2607,8665,1447,165.5,46756,7.06,90762,8858,-8593,265
4921,337,1,596,362,517,2804,-1587,0.121113595,1.754992867,0.073562284,0.121418506,0.08501644,0,4258,2117,47,1669.428,22.2152,2106,-724,7.7,542,0.03,4258,186,-7,179
129480,3160,4782,51527,5313,6446,76233,16937,0.397953352,1.698477038,0.041033364,0.347418346,0.286353347,0.68,18554,53247,2579,,32.5669,20153,3411,30,5620,4.53,18554,2574,6633,9207
1449.706,194.668,0,225,110.647,402.014,777.272,853.209,0.155203883,1.865120576,0.076323751,0.216245845,0.059517713,0.49,1859.06,672.434,18.466,947.6663,14.5178,672.434,58.018,5.695,376.103,0.82,1859.06,127.079,-61.591,65.488
33749,5571,590,7242,4019,12927,18766,30116,0.214584136,1.798412022,0.11908501,0.814094087,0.253101581,1.44,15879,14983,203,98048.83,8.9416,14852,1720,25,1560,1.83,15879,3148,-2437,711
23217,60,355,9055,4213,4213,15763,2138,0.390015937,1.472879528,0.18146186,0.353232162,0.353232162,1.48,11927,7454,438,25512.0154,12.2393,7454,987,43.67,320,2.42,11927,3407,-15,3392
3134.4,552.7,5.5,450.2,441.8,1118,1962.9,986.8,0.143631955,1.59682103,0.140952016,0.291244432,0.115091046,0.45,3838.7,1171.5,29.8,4751.4944,12.6384,1171.5,166.7,12.165,652.3,2.27,3838.7,236.6,-60.7,175.9
3563.98,24.059,73.631,1061.159,403.535,633.84,2415.905,423.784,0.297745498,1.475215292,0.113225944,0.137438655,0.087500485,0,4611.803,1148.075,50.869,1915.9488,13.4963,1143.661,95.205,15.55,112.804,1.59,4611.803,323.011,118.675,441.686
2348.7,494.3,1.8,222.2,265.4,888.3,3801.1,-5849.2,0.094605526,0.617900082,0.11299868,0.264658563,0.079072816,0,3356.4,-1452.4,13.2,1465.156,-29.3763,-1460,-733.3,23.2,46.7,0.89,3356.4,121.4,-36.9,84.5
55896,1420,147,5005,4157,4157,45017,9353,0.089541291,1.24166426,0.074370259,0.119063986,0.119063986,0.04,34914,10789,265,26682.0932,41.5542,10774,1672,37.2,0,7.97,34914,1994,-1582,412
55566,190,0,2559,1124,1124,42772,10045,0.046053342,1.29912092,0.020228197,0.119206703,0.119206703,2,9429,12794,183,10450.9258,47.3887,12794,649,6.9,0,3.08,9429,1440,-519,921
33053,669,228,9514,4803,4803,21877,10068,0.287840741,1.51085615,0.145312075,0.379114374,0.379114374,0.63,12669,11176,545,35925.3419,11.2466,11152,1784,31.511,273,1.96,12669,3343,-1083,2260
4084,67,68,1004,590,952,1993,1836,0.245837414,2.049172102,0.14446621,0.261036468,0.161776803,0.86,3647,2091,58,3268.6741,30.1637,1942,32,4.737,498,3.15,3647,315,-302,13
8113,232,1771,2244,1597,3226,6510,1629,0.276593122,1.246236559,0.19684457,0.390179003,0.19315433,1.248,8268,1603,124,13017.67,5.1597,1615,814,19.4,1016,2.56,8268,899,-925,-26
31792,52,544,7865,5674,5674,18322,9313,0.24738928,1.735181749,0.178472572,0.46761167,0.46761167,1,12134,13470,371,64768.188,16.642,13470,2590,25.53,335,3.86,12134,4381,-2370,2011
16640,226,134,5659,2887,2887,11030,3389,0.340084135,1.508612874,0.173497596,0.436102719,0.436102719,1.4,6620,5610,301,37169.5738,33.7706,5610,760,14.698,177,8.52,6620,2123,-1630,493
14553.2,662.1,1406,2131.6,1365.4,4053,8922.4,4157.1,0.146469505,1.631085807,0.09382129,0.325205209,0.109557166,1.875,12462.9,5630.8,124,9941.333,62.6953,4855.5,625.5,28.272,1623.8,7.79,12462.9,574.8,88.6,663.4
26033,2865,801,3171,2399,5427,19632,4844,0.121806937,1.326049307,0.092152268,0.059582364,0.026338325,1.29,91084,6401,133,23104.72,18.9941,6401,1168,34,8266,3.44,91084,2524,-710,1814
3057.5,120,0,604.3,331.9,518.8,1553.2,1066.4,0.197645135,1.968516611,0.108552739,0.238748274,0.15273815,0.72,2173,1504.3,32.1,3360.9153,28.3098,1504.3,223.3,4.9,699.2,2.55,2173,239.6,-29.1,210.5
84681,7341,11501,27784,10745,18577,67855,27456,0.328101935,1.247969936,0.126887968,0.336637431,0.194712235,2.6,55184,16826,1108,55482.4655,27.6261,16746,1162,114.233,12205,6.51,55184,8057,-2996,5061
50147,128,550,20121,7056,10235,35124,-1870,0.401240353,1.427713245,0.140706323,0.56763352,0.39132605,2.16,18031,15023,1358,22501.9029,26.4249,15023,-443,45,132,1.41,18031,5188,-2151,3037
2094.157,255.303,15.779,255.742,222.148,222.148,954.642,1179.754,0.122121694,2.193656889,0.106079917,0.059080061,0.059080061,0,3760.118,1133.558,4.255,1616.9081,42.0849,1133.558,79.354,6.6,39.375,3.22,3760.118,211.044,96.201,307.245
266026,12785,3790,24028,36519,42998,109835,180128,0.090321999,2.422051259,0.137276056,0.223589242,0.189898496,4.21,192308,156191,358,210859.0248,82.4771,155028,17961,64.7,6505,10.21,192308,31475,-4999,26476
1490.604,57.685,27.884,832.302,419.555,559.564,1427.51,2305.592,0.558365602,1.04419864,0.281466439,0.192591032,0.144402661,1.04,2905.452,63.094,28.091,3140.7954,0.9773,63.094,153.099,55.586,23.643,2.73,2905.452,359.842,-201.346,158.496
4381.3,423,402.4,798.8,735,1541.7,2279.4,2380.2,0.182320316,1.92212863,0.167758428,0.467521834,0.222889374,1.24,3297.6,2101.9,28.1,10509.4711,15.762,2101.9,379,4.145,245.9,3.09,3297.6,540.3,-306.6,233.7
2360.274,67.936,11.794,759.105,175.243,253.957,1660.273,437.721,0.321617321,1.421618011,0.074246888,0.310675847,0.214381834,0.87,817.434,700.001,20.842,1665.0816,40.0642,700.001,46.232,4.825,0,3.47,817.434,141.619,322.049,463.668
1819.7,57.9,13.2,1771,361.7,582.8,2468.2,-3361.8,0.973237347,0.737257921,0.198769028,0.455953685,0.28297606,0,1278.2,-648.5,149.5,667.6542,-3.8403,-803.75,35,3.1,25,-0.09,1278.2,175.2,-514.5,-339.3
14040.242,457.024,3.604,20322.414,1823.729,3782.168,23705.45,-11990.98,1.447440436,0.592279075,0.129892989,0.600007647,0.289318546,0,6303.533,-9665.208,1741.596,651.2321,-111.6141,-9889.348,-902.353,19.2,23.777,-9.13,6303.533,245.116,-398.001,-152.885
3164,290.9,96.3,3055.1,-8218.5,-8001,4898.3,-4206.5,0.965581542,0.645938387,-2.597503161,-1.730432338,-1.777472587,0.6,4623.7,-1734.3,216.6,1094.1836,-14.1119,-2162.6,-7357.1,5.386,521.9,-44.96,4623.7,358.9,-288.3,70.6
4258,329,718,1595,1135,2529,4104,1322,0.374589009,1.037524366,0.266557069,0.452334108,0.203004829,2.9,5591,154,103,11771.9544,1.1957,154,508,8.2,386,4.43,5591,767,-592,175
1433.076,9.095,6.446,497.363,147.097,765.636,1176.133,121.043,0.347059751,1.218464238,0.102644242,0.438415936,0.084230194,1,1746.369,256.943,29.272,628.7103,19.8025,183.609,-0.384,7.3,70.74,3.46,1746.369,91.903,29.682,121.585
92023,8958,22682,19063,12463,30013,61462,57631,0.207154733,1.497234063,0.135433533,0.652484891,0.270946563,1.22,45998,30561,483,184332.52,6.9446,30320,4753,129.2,3100,1.99,45998,10615,-3631,6984
1546.231,270.861,17.498,460.899,-1398.72,-1314.924,960.913,-2205.411,0.298079006,1.609126945,-0.904599636,-2.068329605,-2.200137792,0,635.742,585.318,46.221,528.2922,5.6616,585.318,-1153.786,1.868,163.135,-11.26,635.742,52.927,92.978,145.905
13459,1089,504,5644,4628,10548,12074,15325,0.419347648,1.114709293,0.343859128,0.61052266,0.267870579,1.42,17277,1385,134,62735.4033,1.2628,1145,1124,37.7,1382,2.89,17277,3298,-2170,1128
29772,374,783,4799,2595,2595,23141,1471,0.161191724,1.286547686,0.087162435,0.215442092,0.215442092,0.925,12045,6631,255,,23.4679,6571,637,68.633,0,4.81,12045,1642,-1133,509
159339,3910,4217,44017,23160,23160,105205,21393,0.276247497,1.514557293,0.145350479,0.336750273,0.336750273,0.87,68775,53068,2617,147229.0808,20.7436,52711,8178,139,0,3.29,68775,16945,-6020,10925
1842530,32108,307887,192010,31400,31400,1630485,94985,0.104209972,1.130050261,0.017041785,0.34668551,0.34668551,0.04,90572,212045,7998,,66.1612,200066,3124,241,228829,3.86,90572,45434,-70270,-24836
3688.52,434.925,145.346,1281.042,365.729,831.663,2339.929,1206.346,0.347305152,1.576338427,0.099153319,0.118134637,0.051950445,0.48,7039.959,1348.591,77.741,2036.0851,11.4444,1348.48,123.218,9.293,935.411,0.89,7039.959,136.94,-34.397,102.543
16969,624,28,11508,2991,4071,16304,-2137,0.678177854,1.040787537,0.176262596,0.479787861,0.35250442,0,8485,665,492,7011.479,6.291,665,106,30,0,2.9,8485,2579,182,2761
671.189,2.475,4.448,176.601,42.008,42.008,460.966,67.767,0.263116648,1.456048819,0.062587438,0.442874764,0.442874764,1.01,94.853,210.223,6.515,403.7263,18.8271,209.451,19.831,0.265,1.486,1.95,94.853,30.205,-6.455,23.75
19185,207,600,8139,1846,1846,15478,-1107,0.424237686,1.239501228,0.096221006,0.257138877,0.257138877,1.08,7179,3707,410,9562.644,13.3365,3670,450,7.747,918,1.79,7179,1447,498,1945
15145.07,24.381,2.078,5995.837,3518.491,3753.213,10177.226,3676.183,0.395893647,1.488133407,0.23231923,0.781655892,0.732771953,0,4801.618,4967.844,283.928,14270.1502,13.3542,4967.844,976.956,1.188,102.179,2.69,4801.618,3355.715,1227.715,4583.43
2489.931,551.652,66.666,298.931,439.624,711.924,1605.67,1336.524,0.120055937,1.550711541,0.176560716,0.207872614,0.128364531,0.42,3424.809,884.261,30.016,2014.9322,14.5104,843.792,92.996,8.881,421.851,2.57,3424.809,319.084,-194.755,124.329
4458.34,25.222,101.518,1280.833,506.384,1207.685,1869.9,1472.641,0.287289215,2.384266538,0.113581288,0.703051504,0.294790473,0.06,1717.776,2588.44,13.565,7890.6377,53.3801,2569.878,180.676,9.46,381.474,6.45,1717.776,454.823,842.165,1296.988
13996.3,624.6,849.4,2337.1,783.2,1918.7,6110.2,3541.5,0.166979845,2.290645151,0.055957646,0.462749922,0.188891301,1.48,4146.3,7886.1,146.4,13893.283,42.3898,7863.3,-539.3,9.1,202.2,3.88,4146.3,1272.6,-802,470.6
30063,5309,36,3227,3036,5219,8411,11714,0.10734125,3.574248009,0.100987925,0.537210499,0.312506433,0.4,9715,21652,163,29212.82,15.1327,19279,1121,34.6,1322,1.96,9715,4709,-2586,2123
3450.785,346.266,100.806,749.213,499.224,1103.339,2380.184,1223.239,0.217113787,1.449797579,0.144669691,0.377210301,0.170675047,1.26,2924.997,1070.601,39.222,3411.7614,18.2332,1059.752,-57.83,11.3,369.719,4.51,2924.997,263.951,-132.997,130.954
11057.864,878.826,4.891,8384.91,1025.684,1025.684,9220.902,1494.552,0.758275739,1.19921717,0.092756069,0.472885537,0.472885537,0,2168.99,1836.962,734.022,4153.5096,17.6366,2025.269,479.767,5.03,204.967,0.64,2168.99,400.295,-1772.21,-1371.915
2667,392,18,556,237,511,1613,-2659,0.208473941,1.653440794,0.088863892,0.233333333,0.108219178,0,2190,1054,45,1773.141,14.6862,1053,646,2.7,329,5.14,2190,-78,-935,-1013
9708,965,252,5007,1174,1572,9321,-983,0.515760198,1.04151915,0.120931191,0.172804221,0.129053534,0,9097,387,253,7075.1,0.8561,119,135,23,1324,3.38,9097,912,445,1357
15776,2301,109,1589,2505,5344,7683,8467,0.100722617,2.053364571,0.158785497,0.277538302,0.130096079,2.81,19255,8093,83,26109.187,42.7885,7749,1357,54.6,2866,9.01,19255,2266,-1343,923
4145.842,267.276,53.777,1394.366,386.025,660.267,2428.266,-477.211,0.336328784,1.707326133,0.093111363,0.320352653,0.187294129,0.205,2061.063,1717.576,52.192,3303.2643,4.6953,1717.576,100.477,31.2,8.807,0.3,2061.063,254.776,-374.562,-119.786
4930,1121,65,1613,705,1116,3750,-1529,0.327180527,1.314666667,0.143002028,0.168656491,0.106543751,0.2,6617,1180,118,3610.3618,6.5033,1080,49,22.6,654,3.04,6617,510,-254,256
36991.7,3005.6,71.9,3401.5,4540.9,11426.9,13541.9,18889.3,0.09195306,2.731647701,0.122754564,0.573818156,0.2280278,0.325,19913.8,23449.8,122.7,60365.553,33.1934,23378.1,950.2,71,1831.5,3.82,19913.8,3758.4,-218.2,3540.2
61336.4,3787,12577.7,24380.7,6344.9,11081.3,52270.9,18221.4,0.397491538,1.173433019,0.103444284,0.311816399,0.178538968,2.22,35537.9,9065.5,670,29554.4122,26.2301,9062.6,2071.8,59.623,4209.7,8.91,35537.9,3525.9,-288.3,3237.6
54121,2088,1216,8561,4693,8190,45308,-3855,0.158182591,1.19451311,0.086713106,0.202913632,0.116272732,0.3,40362,8813,650,40594.441,10.6791,8813,-1522,79.655,852,1.55,40362,4947,-3240,1707
1688.391,61.541,160.911,393.401,416.633,1134.525,1040.894,592.997,0.233003493,1.622058538,0.246763339,0.677699778,0.248872516,1.15,1674.082,647.497,36.529,3096.4395,13.0171,647.497,196.88,5.83,47.818,4.24,1674.082,280.395,-199.345,81.05
27974,48,672,8343,2735,2735,19632,4423,0.298241224,1.4249185,0.097769357,0.222339647,0.222339647,2.655,12301,8342,445,15286.7127,47.0476,8327,886,10,804,5.11,12301,1839,217,2056
84186,3421,2197,12905,13828,22393,36008,51766,0.153291521,2.337980449,0.164255339,0.458750743,0.28328519,0.86,48813,48178,367,151351,26.4459,44958,6720,180,2635,4.38,48813,9780,-6710,3070
54327,318,4150,21805,4539,4539,42370,5679,0.401365803,1.28220439,0.083549616,0.364988742,0.364988742,2.4,12436,11957,1273,44986.5,19.7521,11555,1218,14.4,1410,2.85,12436,3439,1744,5183
7639.3,527.9,203.4,3429.1,1242.2,2564.9,7018.9,-1332.7,0.448876206,1.088389919,0.162606522,0.221047279,0.107054829,1.04,11603.4,620.4,294.6,3357.639,2.972,593.8,-168.1,68,586.2,1.65,11603.4,722.7,-605.1,117.6
9090.385,681.581,781.757,2256.442,1571.084,3301.127,5389.66,6915.851,0.24822293,1.686634222,0.172829204,0.425801989,0.202649184,1.55,7752.728,3700.725,131.689,11691.2206,22.7022,3700.725,575.276,27,863.737,4.84,7752.728,975.924,-255.489,720.435
68796,5654,945,18838,8280,13033,45240,15028,0.27382406,1.520689655,0.120355835,0.224061753,0.142348754,1.43,58167,23354,1108,52797.8623,15.9149,18423,614,53.216,8101,3.04,58167,6502,-3583,2919
21559.7,2388.1,30.8,4596.6,2247.3,2247.3,18052.7,8958.7,0.213203338,1.19426457,0.104236144,0.146711669,0.146711669,1.8,15317.8,3321.3,177.2,19111.849,11.5525,2850,677.4,74,1166.6,4.26,15317.8,1476.5,-1258.1,218.4
49876,6910,1423,9271,6307,13718,36498,8338,0.185880985,1.366540632,0.126453605,0.392998338,0.180685269,1.84,34906,13378,377,66914.1473,14.4567,13083,359,63,7841,3.99,34906,3712,-5074,-1362
120709,2036,5321,37213,8723,8723,79810,1469,0.308286872,1.51245458,0.072264703,0.364521521,0.364521521,3.15,23930,40899,1695,59062.78,57.8147,40875,1739,28.344,3459,4.38,23930,6586,-678,5908
1986.2,319.4,301.1,1352.2,510.5,1131.7,3180.8,1909,0.680797503,0.624434105,0.257023462,0.672909977,0.303543822,1.76,1681.8,-1194.6,43.3,4342.464,-33.5181,-1203.3,111.1,4.9,0,8.55,1681.8,315.5,-144.4,171.1
4968.02,450.35,53.131,1101.791,871.629,1821.929,3026.177,3035.332,0.221776684,1.641681898,0.175447965,0.373507986,0.178689945,0.62,4877.885,1941.843,60.322,8038.1007,14.3772,1931.562,359.895,18,995.564,3.73,4877.885,570.962,-367.658,203.304
4134.075,174.821,1.075,1051.892,350.359,1123.844,2091.973,1835.345,0.254444344,1.976160782,0.084749067,0.502339735,0.156604695,0.28,2237.219,2042.102,36.27,4918.7941,18.1551,2042.102,104.987,7.7,285.457,1.58,2237.219,281.597,30.931,312.528
19466.7,209.6,1705.4,4864,2901.1,7478.7,12084.6,4603.2,0.249862586,1.610868378,0.149028854,0.523700151,0.20315115,1.1,14280.5,7382.1,268,31340.6356,24.3983,7315.9,556.1,47.43,1466.9,4.26,14280.5,1815.6,-1071,744.6
3059.301,40.504,29.532,1134.179,234.505,234.505,2075.047,1024.536,0.370731419,1.474328533,0.076653131,0.255584317,0.255584317,1.105,917.525,984.254,60.278,1611.6939,24.4645,984.254,80.815,1,45.889,2.27,917.525,243.34,102.764,346.104
24177,3149,2465,3559,5071,10786,14010,19292,0.147206022,1.725695931,0.209744799,0.439581041,0.206667482,1.76,24537,10167,218,43593.5409,14.5262,10119,1753,115.1,2057,3.83,24537,3692,-2559,1133
