Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,Total debt/total asset,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Book Value Per Share,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Earnings Per Share from Operations,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow
163728,5934,27226,39575,5220,5220,150411,-7492,0.241711864,1.088537408,0.031882146,0.531459988,0.531459988,0.16,9822,13317,1799,8882.34,28.5161,13317,957,7.6,0,2.05,9822,4567,3670,8237
221690,12960,29028,55600,22063,33473,177615,16838,0.250800668,1.248149087,0.099521855,0.201184037,0.132606082,1.52,166380,44075,2680,52260,29.224,43836,8133,225,13788,6.39,166380,16545,17139,33684
1521.259,55.444,8.961,363.647,141.041,284.429,867.433,758.278,0.23904345,1.753748128,0.092713338,0.176561109,0.087552097,0.495,1610.938,653.826,15.822,1040.4095,15.0132,653.826,7.434,4.346,249.669,1.24,1610.938,116.11,-3.019,113.091
16511,1132,681,4798,2506,4913,11786,1610,0.290594149,1.400899372,0.151777603,0.324119277,0.165325241,0.31,15158,4725,416,7766.7994,17.9136,4507,1076,66,2627,5.74,15158,1504,-860,644
2911.8,90.6,76.5,1507.6,397.4,755.5,2539.4,685.7,0.51775534,1.146648815,0.136479154,0.472601026,0.248592518,0.51,1598.6,372.4,82.8,4620.4208,5.399,368.8,92,3.7,228,2.05,1598.6,291.4,-28.8,262.6
5694.307,274.146,406.106,1840.946,1463.132,4291.261,3788.539,6841.265,0.323295881,1.503035075,0.256946455,0.423318008,0.144332895,4.83,10137.204,1905.768,68.332,13657.229,30.575,1797.935,554.725,25.6,1406.47,11.75,10137.204,1002.976,-754.532,248.444
2783.331,325.189,0,1756.747,304.387,337.334,2290.47,-119.01,0.631167116,1.215178981,0.10936069,0.415198193,0.374646292,0,812.465,492.861,97.236,783.7319,6.7982,492.861,61.912,3.996,0,1.2,812.465,206.633,500.572,707.205
3153,103.7,51.6,974.6,435.7,812.3,2163.3,941.6,0.309102442,1.457495493,0.138185855,0.244403659,0.131092791,1.68,3323.6,957.9,78,2490.227,19.8234,947.4,53.9,12.37,277.4,1.97,3323.6,301,-272.8,28.2
4597.4,157.2,10,905.2,181.4,977,4805.8,-1301.5,0.196893897,0.956635732,0.039457084,0.59923945,0.11126104,0,1630.4,-208.4,45,727.9684,-3.379,-208.4,11.1,2.916,0,0.52,1630.4,118.2,-42.7,75.5
1053.903,8.822,483.326,0,0.629,37.692,604.282,92.805,0,1.744058238,0.000596829,0.304658137,0.005084102,0,123.719,449.621,34.886,47.4635,16.5777,449.621,-255.147,0.45,7.465,-8.91,123.719,-23.339,20.167,-3.172
27000,4009,163,12214,2193,2421,17552,13687,0.45237037,1.538286235,0.081222222,0.152388746,0.138037389,0.72,15887,9448,586,46841.94,10.8649,9409,-5854,50,2275,-3.12,15887,-1703,-3540,-5243
11996,487,397,4120,1578,2702,8939,835,0.343447816,1.341984562,0.131543848,0.361858846,0.211329851,2.06,7467,3057,183,10400.2119,24.518,3056,-155,21,964,5.77,7467,924,-893,31
1581.386,71.879,29.833,629.239,258.122,462.793,1443.823,543.966,0.397903485,1.095276914,0.163225171,0.318898612,0.177865152,0.0513,1451.223,137.563,50.459,1090.38,1.2011,96.301,-176.701,9.4,187.681,0.48,1451.223,159.785,-292.273,-132.488
5091.366,1282.285,522.295,1198.679,975.376,2788.602,3205.926,3954.152,0.235433673,1.588110892,0.19157452,0.555518104,0.194304898,1.99,5019.822,1862.736,97.405,9683.8437,14.9633,1862.736,502.811,5.4,387.675,4.52,5019.822,774.873,-333.058,441.815
2371.677,169.777,6.123,506.817,242.926,306.066,891.833,-202.039,0.213695626,2.659328596,0.102427944,0.473817917,0.376071472,0.01,645.957,1479.844,37.996,2071.3039,3.7238,1471.953,67.576,1.396,50.023,0.18,645.957,225.328,-12.021,213.307
120480,4204,2691,29713,8578,11693,62906,-1040,0.246621846,1.91523861,0.071198539,0.441461849,0.323856986,2.925,26487,57574,1134,106222.6843,47.151,57358,2675,41,2684,3.48,26487,5238,-4621,617
5524.333,296.967,632.714,2347.455,1578.49,3474.419,4696.646,5740.073,0.424930032,1.176229377,0.285734042,0.46698044,0.212157473,2.402,7440.181,827.687,97.851,21954.0518,3.7023,785.856,715.181,17.98,745.678,3.68,7440.181,983.475,-434.443,549.032
29010,6288,78,6758,3864,9314,32899,-4936,0.232954154,0.88178972,0.13319545,0.19308429,0.080102824,0.496,48238,-3889,273,24808.1986,-2.2715,-3889,2279,49,4484,1.2,48238,3230,-14423,-11193
2400.6,35.2,4.3,684.4,453.4,657.9,1155.7,1080.3,0.285095393,2.07718266,0.188869449,0.328244275,0.226213641,0.43,2004.3,1244.9,24,4701.616,13.6204,1244.9,199.3,6.155,291,2.62,2004.3,401.4,-46.8,354.6
4262.4,232.2,210.1,1938.4,518.3,1486.1,3026.5,1420.6,0.454767267,1.408359491,0.121598161,0.559694185,0.195201868,0.68,2655.2,1235.9,90.4,4072.3959,18.6774,1227.2,95.8,10,252,2.74,2655.2,281.2,-141.9,139.3
26211,1418,171,10641,2719,3169,20362,-4324,0.405974591,1.287250761,0.103735073,0.271713967,0.233130412,0.28,11663,5849,578,26874.3072,5.9705,5899,131,169,541,1.02,11663,1350,-29,1321
9435.661,710.579,0,2235.137,917.224,1042.872,4133.676,2787.34,0.236881868,2.282631972,0.09720824,0.098984595,0.087058667,1.32,10535.7,5301.985,80.192,5809.8222,26.3971,4681.394,-245.686,2.676,1135.676,1.01,10535.7,602.271,843.372,1445.643
4077.067,185.093,62.028,4037.971,613.065,1068.735,4449.947,-1233.493,0.990410754,0.916205744,0.150369126,0.449264457,0.257714321,0,2378.855,-372.88,333.173,809.274,-6.8635,-383.065,-457.492,16.092,9.967,-1.9,2378.855,255.747,-39.592,216.155
6370.067,415.143,0,250,1418.169,2290.143,1918.661,4440.264,0.039246055,3.320058624,0.222630154,0.2404798,0.1489169,0.58,9523.224,4451.406,12.871,20346.634,8.4165,4448.006,819.417,21.1,985.683,1.68,9523.224,992.848,-509.646,483.202
21829,341,1060,7532,2085,2085,18369,-739,0.345045582,1.188360825,0.09551514,0.276965994,0.276965994,1.03,7528,3460,437,10612.0291,8.0338,3460,427,7.727,312,1.17,7528,1928,-805,1123
2379.44,346.765,151.045,1890.966,196.905,449.984,2507.95,-856.183,0.79471052,0.948758947,0.082752664,0.163496954,0.071543361,0,2752.247,-128.51,166.824,228.8683,-1.8229,-268.51,-2.819,1.961,1448.167,-0.01,2752.247,387.665,-245.667,141.998
3525,437.6,3.2,990.5,603.7,1221.7,1921.8,1576.8,0.280992908,1.834217921,0.171262411,0.348539313,0.17222983,2.59,3505.2,1603.2,43.4,6480.5844,28.6826,1592.8,214.7,17.4,532.4,5.69,3505.2,398.2,-46.8,351.4
3828.988,6.377,0,986.278,1072.82,1174.356,2414.927,3218.943,0.257581899,1.585550205,0.280183693,0.179141689,0.163652919,0.88,6555.459,1414.061,25.294,10804.3764,12.7044,1414.061,432.09,22.19,18.577,3.75,6555.459,854.143,-367.944,486.199
2685.76,85.909,31.676,1030.205,335.928,378.713,1189.008,701.743,0.383580439,2.258824163,0.125077445,0.480430762,0.426154225,1,788.278,1496.752,32.245,3269.2464,11.4855,1411.61,242.892,0.315,21.379,1.75,788.278,203.801,114.423,318.224
6289.897,61.48,22.864,1744.614,415.437,415.437,4132.031,1302.316,0.277367658,1.522228899,0.066048299,0.329184165,0.329184165,2.08,1262.02,2157.866,92.229,4059.4784,42.7388,2153.906,198.682,2.02,111.556,3.94,1262.02,347.706,-103.584,244.122
15201,2472,652,7177,3534,5949,10942,17698,0.472139991,1.389234144,0.232484705,0.437458637,0.259872049,2.3,13599,4259,237,42481.374,12.2629,4254,1732,50,1076,5.67,13599,2302,-2255,47
41654,391,202,5032,1832,3055,16633,23455,0.120804725,2.504298683,0.04398137,0.130561135,0.078293944,0.58,23399,25021,114,39591.3493,29.5199,25021,2096,5.6,949,0.54,23399,2015,-3774,-1759
5800.7,68.6,318.5,1589.9,641.5,641.5,4032.6,1038.3,0.27408761,1.438451619,0.110590101,0.262018543,0.262018543,1.62,2448.3,1768.1,85.5,4323.235,21.3281,1768.1,211.5,5.8,129.9,2.55,2448.3,524.1,-21,503.1
17397.4,1714.7,360.8,3709.4,1957.3,4538.1,10679.1,6728.3,0.213215768,1.629107322,0.112505317,0.335934088,0.144889665,1.36,13508.9,6718.3,221.5,19435.8102,25.6511,6643.8,1306.6,45,1385.8,4.17,13508.9,1500.2,-705.2,795
1558.7,80.7,19.2,944.3,176.5,613.1,1608,-420,0.605825367,0.969340796,0.113235388,0.214393118,0.061719761,0,2859.7,-49.3,89.9,495.7256,-1.3681,-50.8,17.9,3.325,563.4,0.75,2859.7,25.4,11.9,37.3
1782.096,72.553,22.644,913.914,179.615,530.403,1371.149,394.519,0.512830959,1.299709951,0.100788622,0.27100632,0.091773237,0.21,1957.161,410.947,55.098,768.3247,9.098,410.947,39.957,6,435.83,0.83,1957.161,104.383,8.888,113.271
